ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead
654CHR2,Pg654,4,Control,3,36,2,160,9,169,5.325443787
654CHR3,Pg654,4,Control,3,36,3,255,11,266,4.135338346
590DLR1,Pg590,1,Dark,4,50,1,144,68,212,32.0754717
590DLR2,Pg590,1,Dark,4,50,2,242,53,295,17.96610169
590DLR3,Pg590,1,Dark,4,50,3,166,32,198,16.16161616
590DHR1,Pg590,4,Dark,4,50,1,241,124,365,33.97260274
590DHR2,Pg590,4,Dark,4,50,2,124,52,176,29.54545455
590DHR3,Pg590,4,Dark,4,50,3,88,40,128,31.25
633DLR1,Pg633,1,Dark,4,50,1,152,57,209,27.27272727
633DLR2,Pg633,1,Dark,4,50,2,128,70,198,35.35353535
633DLR3,Pg633,1,Dark,4,50,3,122,56,178,31.46067416
633DHR1,Pg633,4,Dark,4,50,1,73,75,148,50.67567568
633DHR2,Pg633,4,Dark,4,50,2,68,79,147,53.7414966
633DHR3,Pg633,4,Dark,4,50,3,72,47,119,39.49579832
595DLR1,Pg595,1,Dark,4,50,1,43,63,106,59.43396226
595DLR2,Pg595,1,Dark,4,50,2,76,99,175,56.57142857
595DLR3,Pg595,1,Dark,4,50,3,65,96,161,59.62732919
595DHR1,Pg595,4,Dark,4,50,1,47,47,94,50
595DHR2,Pg595,4,Dark,4,50,2,19,47,66,71.21212121
595DHR3,Pg595,4,Dark,4,50,3,47,41,88,46.59090909
716DLR1,Pg716,1,Dark,4,50,1,122,37,159,23.27044025
716DLR2,Pg716,1,Dark,4,50,2,124,34,158,21.51898734
716DLR3,Pg716,1,Dark,4,50,3,96,29,125,23.2
716DHR1,Pg716,4,Dark,4,50,1,73,32,105,30.47619048
716DHR2,Pg716,4,Dark,4,50,2,66,39,105,37.14285714
716DHR3,Pg716,4,Dark,4,50,3,79,62,141,43.97163121
654DLR1,Pg654,1,Dark,4,50,1,183,16,199,8.040201005
654DLR2,Pg654,1,Dark,4,50,2,228,21,249,8.43373494
654DLR3,Pg654,1,Dark,4,50,3,78,60,138,43.47826087
654DHR1,Pg654,4,Dark,4,50,1,99,45,144,31.25
654DHR2,Pg654,4,Dark,4,50,2,73,42,115,36.52173913
654DHR3,Pg654,4,Dark,4,50,3,69,38,107,35.51401869
590CLR1,Pg590,1,Control,4,50,1,294,13,307,4.234527687
590CLR2,Pg590,1,Control,4,50,2,124,24,148,16.21621622
590CLR3,Pg590,1,Control,4,50,3,298,14,312,4.487179487
590CHR1,Pg590,4,Control,4,50,1,185,11,196,5.612244898
590CHR2,Pg590,4,Control,4,50,2,151,11,162,6.790123457
590CHR3,Pg590,4,Control,4,50,3,213,32,245,13.06122449
633CLR1,Pg633,1,Control,4,50,1,316,18,334,5.389221557
633CLR2,Pg633,1,Control,4,50,2,301,11,312,3.525641026
633CLR3,Pg633,1,Control,4,50,3,242,6,248,2.419354839
633CHR1,Pg633,4,Control,4,50,1,399,19,418,4.545454545
633CHR2,Pg633,4,Control,4,50,2,260,22,282,7.80141844
633CHR3,Pg633,4,Control,4,50,3,280,24,304,7.894736842
595CLR1,Pg595,1,Control,4,50,1,87,15,102,14.70588235
595CLR2,Pg595,1,Control,4,50,2,76,8,84,9.523809524
595CLR3,Pg595,1,Control,4,50,3,138,13,151,8.609271523
595CHR1,Pg595,4,Control,4,50,1,113,12,125,9.6
595CHR2,Pg595,4,Control,4,50,2,75,13,88,14.77272727
595CHR3,Pg595,4,Control,4,50,3,71,11,82,13.41463415
716CLR1,Pg716,1,Control,4,50,1,352,11,363,3.03030303
716CLR2,Pg716,1,Control,4,50,2,284,19,303,6.270627063
716CLR3,Pg716,1,Control,4,50,3,220,4,224,1.785714286
716CHR1,Pg716,4,Control,4,50,1,272,11,283,3.886925795
716CHR2,Pg716,4,Control,4,50,2,299,28,327,8.562691131
716CHR3,Pg716,4,Control,4,50,3,232,59,291,20.27491409
654CLR1,Pg654,1,Control,4,50,1,135,14,149,9.395973154
654CLR2,Pg654,1,Control,4,50,2,222,13,235,5.531914894
654CLR3,Pg654,1,Control,4,50,3,161,2,163,1.226993865
654CHR1,Pg654,4,Control,4,50,1,252,47,299,15.71906355
654CHR2,Pg654,4,Control,4,50,2,226,67,293,22.8668942
654CHR3,Pg654,4,Control,4,50,3,279,4,283,1.413427562
