ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead,prop_dead
716DLR3,716,1,Dark,3,36,3,41,23,64,35.9375,0.359375
716DHR1,716,4,Dark,3,36,1,173,27,200,13.5,0.135
716DHR2,716,4,Dark,3,36,2,100,38,138,27.53623188,0.275362319
716DHR3,716,4,Dark,3,36,3,82,11,93,11.82795699,0.11827957
654DLR1,654,1,Dark,3,36,1,270,30,300,10,0.1
654DLR2,654,1,Dark,3,36,2,252,43,295,14.57627119,0.145762712
654DLR3,654,1,Dark,3,36,3,152,30,182,16.48351648,0.164835165
654DHR1,654,4,Dark,3,36,1,107,9,116,7.75862069,0.077586207
654DHR2,654,4,Dark,3,36,2,372,25,397,6.297229219,0.062972292
654DHR3,654,4,Dark,3,36,3,157,21,178,11.79775281,0.117977528
590CLR1,590,1,Control,3,36,1,167,28,195,14.35897436,0.143589744
590CLR2,590,1,Control,3,36,2,163,19,182,10.43956044,0.104395604
590CLR3,590,1,Control,3,36,3,227,16,243,6.58436214,0.065843621
590CHR1,590,4,Control,3,36,1,270,7,277,2.527075812,0.025270758
590CHR2,590,4,Control,3,36,2,149,6,155,3.870967742,0.038709677
590CHR3,590,4,Control,3,36,3,139,24,163,14.72392638,0.147239264
633CLR1,633,1,Control,3,36,1,261,34,295,11.52542373,0.115254237
633CLR2,633,1,Control,3,36,2,132,24,156,15.38461538,0.153846154
633CLR3,633,1,Control,3,36,3,162,9,171,5.263157895,0.052631579
633CHR1,633,4,Control,3,36,1,222,10,232,4.310344828,0.043103448
633CHR2,633,4,Control,3,36,2,254,18,272,6.617647059,0.066176471
633CHR3,633,4,Control,3,36,3,151,18,169,10.65088757,0.106508876
595CLR1,595,1,Control,3,36,1,119,21,140,15,0.15
595CLR2,595,1,Control,3,36,2,91,16,107,14.95327103,0.14953271
595CLR3,595,1,Control,3,36,3,74,15,89,16.85393258,0.168539326
595CHR1,595,4,Control,3,36,1,106,14,120,11.66666667,0.116666667
595CHR2,595,4,Control,3,36,2,127,22,149,14.76510067,0.147651007
595CHR3,595,4,Control,3,36,3,80,16,96,16.66666667,0.166666667
716CLR1,716,1,Control,3,36,1,260,34,294,11.56462585,0.115646259
716CLR2,716,1,Control,3,36,2,232,28,260,10.76923077,0.107692308
716CLR3,716,1,Control,3,36,3,234,16,250,6.4,0.064
716CHR1,716,4,Control,3,36,1,297,6,303,1.98019802,0.01980198
716CHR2,716,4,Control,3,36,2,319,18,337,5.341246291,0.053412463
